density[kg.m-2], linear warp[SI*1e9], linear weft[SI*1e9], linear diag[SI*1e9], nonlinear warp[SI*1e12], nonlinear weft[SI*1e12], nonlinear diag[SI*1e12]
0.0214, 2734.1, 2043.6, 1675.9, -2186.6, -2908.6, -5493.4
0.1228, 9917.0, 2614.9, 10217.1, -16808.3, -7965.2, -12518.4
0.3306, 49339.2, 37286.0, 28661.4, -92374.4, -126070.7, -118409.0
0.2678, 19693.9, 29945.4, 75085.9, -156641.1, -114651.2, -157489.0
0.1998, 31516.0, 2644.1, 12120.2, -90423.0, -12201.8, -28007.4
0.0295, 9266.3, 8941.5, 4945.4, -21196.1, -29340.6, -13667.3
0.0625, 1104.3, 3464.5, 1326.5, -5252.9, -2726.7, -2341.6
0.1706, 16881.2, 7334.2, 5667.3, -19836.1, -23166.0, -15104.8
0.0625, 1104.3, 3464.5, 1326.5, -5252.9, -2726.7, -2341.6
0.2658, 9561.8, 4676.5, 10008.7, -32974.8, -26038.7, -21689.5
0.3507, 5724.0, 14155.1, 14193.9, -10444.3, -35798.2, -26993.1
0.7584, 265725.4, 63180.2, 88806.0, -738410.0, -670780.3, -113173.4
0.0911, 11358.6, 9899.3, 9861.1, -15892.5, -30792.4, -55119.6
0.2035, 24606.4, 15244.5, 33610.2, -96121.2, -65507.9, -143267.8
0.2502, 18356.8, 15020.0, 14471.9, -40007.0, -49736.0, -36612.1
0.2740, 70941.7, 25528.0, 23584.6, -216806.7, -111241.5, -61819.5
0.1287, 4056.0, 2183.7, 4598.7, -2822.1, -10823.1, -7458.5
0.1983, 22622.0, 15666.3, 23873.5, -68245.9, -34444.6, -45654.5
0.6487, 51455.9, 59069.5, 77532.1, -60178.9, -200711.1, -98194.3
0.2968, 12003.8, 7307.1, 14914.2, -34908.7, -26371.9, -28115.9
0.2678, 19693.9, 29945.4, 75085.9, -156641.1, -114651.2, -157489.0
0.1834, 61211.1, 24116.1, 23803.5, -238336.9, -166025.9, -193927.8
0.1508, 57926.7, 17753.3, 15020.3, -52126.6, -66084.1, -62796.5
0.2776, 68681.4, 46805.6, 34174.3, -264725.3, -145916.0, -118250.1
0.2956, 3891.9, 11280.6, 7455.0, -22990.2, -14067.7, -19623.3
0.2569, 17706.8, 8310.9, 27293.7, -78610.0, -15833.6, -63564.7
0.1941, 42725.3, 34098.7, 19184.1, -168347.4, -117860.1, -139753.2
0.3955, 23753.3, 21983.7, 36234.5, -107216.1, -45132.6, -95028.7
0.2481, 7316.4, 2745.5, 5037.0, -12519.1, -6351.8, -7679.9
0.0351, 899.5, 1016.5, 1102.0, -2169.7, -1346.3, -2660.8
0.2278, 67257.9, 36015.0, 58034.1, 2693148.6, -115726.1, -53308.6
0.1520, 58086.6, 21280.8, 25839.0, -172954.0, -16987.8, -163215.9
0.6487, 51455.9, 59069.5, 77532.1, -60178.9, -200711.1, -98194.3
0.6918, 144235.7, 37562.9, 37880.5, -223154.6, -211036.6, -41588.8
0.0490, 1078.5, 815.2, 884.8, -2316.3, -1867.0, -898.7
0.0603, 2585.7, 2628.7, 4446.9, -8325.0, -4219.3, -4420.8
0.3672, 71370.6, 34085.0, 79950.1, -93997.6, -49723.4, -136542.1
0.0602, 4493.3, 17166.8, 9693.1, -34139.2, -22219.7, -16867.3
0.2392, 5263.3, 3605.9, 7361.3, -35728.3, -4537.7, -15190.3
0.1056, 3114.9, 9176.3, 2392.7, -6722.1, -6101.6, -5960.2
0.4184, 47581.9, 7925.2, 18543.5, -86448.0, -13654.5, -54793.6
0.0471, 1542.8, 892.7, 587.4, -985.8, -1199.3, -1229.3
0.0500, 1752.7, 4437.2, 459.9, -2333.5, -2354.0, -1226.2
